user_input,response,reference,retrieved_contexts
Does providing more accessible primary care psychology services lower the clinical threshold for referrals?,response,The lack of evidence for a reduction in clinical threshold for referral within the primary care sample suggests that general practitioners' referral rates are similar regardless of whether practice-based clinical psychology services are available. This has implications for primary-care-led commissioning of mental health services.,"['The growing number of specialist services being provided within primary care has lead to the argument that this will reduce the clinical threshold for referrals to these clinics.AIM: The possibility that increasing the accessibility of primary care psychology services will reduce the threshold for referral was examined by comparing levels of psychological disturbance among patients seen by practice-based clinical psychologists with those attending outpatient clinics. Psychological symptoms, distress, disruption in daily life and satisfaction with life were assessed using a questionnaire-based methodology. A consecutive series of 177 patients, assessed in a local general practice or an outpatient department across a wide range of urban locations, was studied over a fixed period. The study revealed equivalent levels of psychopathology within both specialist and primary care clinics. Of the overall sample, 79% were likely to merit a formal psychiatric diagnosis, relating primarily to mood disorder. Levels of subjective distress and life satisfaction were also equivalent at both service locations.']"
Are somatic symptoms and diseases more common in women exposed to violence?,response,"Violence was associated with the presence of somatic symptoms and diseases. The more a woman is exposed to violence, the higher the number of somatic symptoms and diseases reported is.","['Exposure to violence has been shown to have an impact on somatic health. However, our knowledge about the possible dose-response relationship between frequency of violence exposure and health is still limited. To study the associations between recent and repetitive exposure to violence and presence of somatic symptoms and diseases in women. Cross-sectional, community-based, self-reporting survey. Two thousand seven hundred thirty women aged 18-40 years (mean age 30.5 years). The somatic symptom scale derived from the Primary Care Evaluation of Mental Disorders was used to obtain information on the presence of somatization. In addition, we asked about the presence of 11 diseases or organ-specific diseases. Exposure to violence was measured by the Abuse Assessment Screen. Eighteen percent (486/2,730) of women surveyed reported exposure to physical violence. Three percent (94/2,730) had been forced into sexual intercourse as an adult. All somatic symptoms, and several diseases, were significantly more common in women exposed to physical and/or sexual violence as compared to nonexposed women. Women exposed to 3 or more violent episodes in the past 12 months reported a presence of 4.8 somatic symptoms and 1.2 diseases (mean) as compared to 1.8 symptoms and 0.5 diseases in nonexposed women. Women with exposure to both physical and sexual violence reported 6.0 symptoms and 1.5 diseases. The impact of violence on somatic symptoms and diseases remained after controlling for depression and sociodemographic factors.']"
Are clinical trials dealing with severe infection fitting routine practices?,response,Current exclusion criteria for RCTs dealing with severe sepsis and septic shock excluded most patients encountered in daily practice and limit external validity of the results of high-quality studies.,"['Guidelines dealing with severe sepsis and septic shock mostly rely on randomized controlled trials (RCTs) to ensure the best standards of care for patients. However, patients included in high-quality studies may differ from the routine population and alter external validity of recommendations. We aimed to determine to what extent non-inclusion criteria of RCTs dealing with severe sepsis and septic shock may affect application of their conclusions in routine care. In a first step, the MEDLINE database was searched for RCTs treating severe sepsis and septic shock patients between 1992 and 2008, and non-inclusion criteria for these studies were abstracted. Two reviewers independently evaluated the articles, which were checked by a third reviewer. We extracted data on the study design, main intervention, primary endpoint, criteria for inclusion, and criteria for non-inclusion. In a second step, the distribution of the non-inclusion criteria was observed in a prospective multicenter cohort of severe sepsis and septic shock patients (Cub-Rea network, 1992 to 2008). We identified 96 articles out of 7,012 citations that met the screening criteria. Congestive heart failure (35%) and cancer (30%) were frequent exclusion criteria in selected studies, as well as other frequent disorders such as gastrointestinal and liver diseases and all causes of immune suppression. Of the 67,717 patients with severe sepsis and septic shock in the Cub-Rea database, 40,325 (60%) experienced at least one of the main exclusion criteria, including 11% of congestive heart failure patients and 11% of cancer patients. In addition, we observed a significant trend for increasing number of patients with these criteria along time.']"
Repeat Imaging in Idiopathic Unilateral Vocal Fold Paralysis: Is It Necessary?,response,"Patients initially diagnosed with iUVFP may have an occult cause that later becomes evident. We recommend repeat imaging within 2 years after diagnosis, but this is likely unnecessary beyond 5 years.","['Imaging plays a critical role in the evaluation of patients presenting with unilateral vocal fold paresis or paralysis of unknown etiology. In those with idiopathic unilateral vocal fold paralysis (iUVFP), there is no consensus regarding the need or timing of repeat imaging. This study seeks to establish the rate of delayed detection of alternate etiologies for these patients to determine if and when imaging should be repeated. Retrospective chart review was conducted identifying patients at our institution with vocal fold movement impairment between 1998 and 2014. Idiopathic paralysis was diagnosed if physical examination, laryngoscopy, and initial imaging excluded a cause. Demographic data, length of follow-up, and the presence of late lesions were noted. Time to detection was plotted using the Kaplan-Meier method. Of 3210 patients reviewed, 207 had a diagnosis of iUVFP. Of these patients, 8 went on to develop alternate diagnoses, including pulmonary disease, skull-base and laryngeal neoplasms, and thyroid malignancy. In Kaplan-Meir analysis, 90% remained ""idiopathic"" at 5 years of follow-up. The mean time to detection was 27 months.']"
Does effects of ventilation on hearing loss in preterm neonates : Nasal continuous positive pressure increase the risk of hearing loss in ventilated neonates?,response,There is no increase in the hearing loss in preterm neonates treated with NCPAP as compared to mechanical ventilation despite being exposed to higher environmental noise generated by the NCPAP.,"['There is increased risk of hearing loss in preterm neonates. This risk is further increased by environmental noise exposure especially from life support equipment such as ventilation. Nasal continuous positive airway pressure (NCPAP) used for respiratory support of preterm neonates is known to be associated with prolonged exposure to high levels of noise. However, there is paucity of information on the effect of NCPAP as compared to mechanical ventilation on hearing loss among preterm neonates. A retrospective chart review was performed on neonates with birth weight (BW) <1500g. Association of clinical factors including the use of NCPAP and mechanical ventilation with failure of hearing screen were studied. Those who failed hearing screen were followed for 2 years to observe long term effects of NCPAP on the hearing loss. Of 344 neonates included in the study, 61 failed hearing screen. Gestational age (p=0.008), BW (p=0.03), ventilation (p=0.02), intrauterine growth retardation (p=0.02), necrotizing enterocolitis (NEC) (p=0.02), apnea (p<0.001), use of vancomycin (p=0.01) and furosemide (p=0.01) were associated with failure of hearing screen. On multivariate analysis, ventilation (OR 4.56, p=0.02), apnea (OR 2.2, p<0.001) and NEC (OR 2.4, p=0.02) were predictors of failed hearing screen. As compared to those not ventilated, the odds of failing hearing screen was 4.53 (p<0.01) and 4.59 (p<0.01) for those treated with NCPAP and mechanical ventilation respectively, with there being no difference between these two ventilatory modalities. Of the 61 neonates, 42 were followed for 2 years, of which 19 had confirmed hearing loss. Among these 19 neonates, there was no difference (p=0.12) between those who were treated with NCPAP or with mechanical ventilation.']"
Do chromosome X-encoded cancer/testis antigens show distinctive expression patterns in developing gonads and in testicular seminoma?,response,"Most CT-X antigens are expressed in human fetal germ cells after they have lost stem cell characteristics, with predominant expression in pre-meiotic germ cells. Spermatocytic seminomas showed expression of all CT-X antigens except SPANX, whereas classical seminomas only express some CT-X antigens, reflecting their different origins from adult versus fetal germ cells.","['Cancer/testis (CT) antigens are cancer antigens normally expressed in adult testicular germ cells. The expression of chromosome X-encoded CT antigens (CT-X antigens) in human fetal gonads and in testicular seminomas was examined. The expression of 10 CT-X antigens (MAGEA, NY-ESO-1, GAGE, CT7/MAGEC1, CT10/MAGEC2, CT45, SAGE1, SSX2, NXF2 and SPANX) was studied immunohistochemically. In adult human testis, SPANX is expressed in late spermatids and spermatozoa, whereas all other CT-X antigens are predominantly expressed in spermatogonia or primary spermatocytes. All CT-X antigens except SPANX are expressed in human fetal germ cells. CT-X-positive germ cells appear as early as 13 weeks after gestation, increase with age and reach a plateau at around 22 weeks. In the fetal ovary, CT-X-positive oogonia are most abundant at around 24 weeks and sharply decrease subsequently. CT-X antigens are almost exclusively expressed in OCT3/4-negative gonocytes and their expression appears to coincide with the loss of pluripotency. Spermatocytic seminoma, a neoplasm derived from adult pre-meiotic germ cells, showed uniform expression of all CT-X antigens except SPANX. In contrast, most seminomas (>80%) express CT7, CT45, GAGE and CT10 but express MAGEA, NXF2 and NY-ESO-1 at lower frequency, and very rarely express SSX2 and SAGE1.']"
Is impaired creatinine secretion after an intravenous creatinine load an early characteristic of the nephropathy of sickle cell anaemia?,response,"Patients with SCA have impaired response to the TST before there are reductions in glomerular filtration. Therefore, a reduction in the tubular secretory reserve capacity represents an early event in the nephropathy of this condition.","['The capacity to increase the tubular secretion of creatinine (TS(cr)) after an intravenous creatinine load (stimulated TS(cr)) has been found to be impaired in subclinical reduction of renal mass. We decided to investigate if this response was impaired in sickle cell anaemia (SCA) patients before there was evidence of deterioration of renal function. Studies were done in 16 patients with homozygous SCA who had normal or supranormal glomerular filtration rate (GFR) and in 20 normal controls of similar median age (23 years). The tubular stress test (TST) consisted of 30-min clearance periods ([(125)I]iothalamate and creatinine) done before (baseline) and after (three successive post-stimulation periods) the intravenous infusion of 88.4 micromol (10 mg) of creatinine per kg of body weight. Baseline studies showed that the SCA patients had higher GFR and lower serum creatinine concentration. After stimulation there were no changes in GFR. In contrast, creatinine clearance increased 2.3 times in normal but not in SCA patients (P<0.001) and the TS(cr) in the first post-stimulation period was 161+/-83 nmol/kg/min in SCA patients vs 286+/-93.2 in normal controls (P<0.001). The mean TS(cr) post-stimulation was also reduced in patients with SCA (123+/-52 nmol/kg/min vs 179+/-50 in normal controls, P<0.001). Since SCA patients had lower P(cr) values, separate analysis was made of post-load clearance periods in which P(cr) was comparable in patients and in normal controls (range 177-265 micromol/l or 2-3 mg/dl) and the reduction in TS(cr) was also present in SCA patients in these study periods.']"
Is uniparental inheritance of chloroplast DNA strict in the isogamous volvocalean Gonium?,response,"The present data suggest that the uniparental inheritance of cpDNA is likely more strict in crossings of less diverged strains or sexually compatible parental volvocaleans, and some genetic inconsistency between the parents may cause exceptional uniparental inheritance of cpDNA.","['A problem has remained unresolved regarding the exceptions to the unilateral inheritance of chloroplast DNA (cpDNA) from MT+/female in Chlamydomonas and other volvocaleans demonstrated by the previous genetic analyses. For identification of the parental types of cpDNA, these studies used parents that have differences in restriction fragment length polymorphisms and exhibit partial sexual incompatibility. In the present study, we used sexually compatible parents of the isogamous colonial volvocalean Gonium maiaprilis that seemed an ideal species to identify the pattern of cpDNA inheritance based on the length difference in the putative group I intron interrupted in the Rubisco large subunit gene and objective identification of mating types by the presence or absence of the minus-dominance (MID) gene. We examined patterns of inheritance of cpDNA and presence/absence of a MID ortholog (GmMID) in 107 F(1) progeny of G. maiaprilis that were obtained by inducing germination of separated single zygotes. The results demonstrated no exception of the uniparental inheritance of cpDNA from the MT+ parent (lacking GmMID) in sexually compatible or genetically less divergent strains of G. maiaprilis.']"
Does induction of vascular progenitor cells from endothelial cells stimulate coronary collateral growth?,response,"We conclude that iVPCs, generated by partially reprogramming ECs, are an ideal cell type for cell-based therapy designed to stimulate coronary collateral growth.","['A well-developed coronary collateral circulation improves the morbidity and mortality of patients following an acute coronary occlusion. Although regenerative medicine has great potential in stimulating vascular growth in the heart, to date there have been mixed results, and the ideal cell type for this therapy has not been resolved. To generate induced vascular progenitor cells (iVPCs) from endothelial cells, which can differentiate into vascular smooth muscle cells (VSMCs) or endothelial cells (ECs), and test their capability to stimulate coronary collateral growth. We reprogrammed rat ECs with the transcription factors Oct4, Klf4, Sox2, and c-Myc. A population of reprogrammed cells was derived that expressed pluripotent markers Oct4, SSEA-1, Rex1, and AP and hemangioblast markers CD133, Flk1, and c-kit. These cells were designated iVPCs because they remained committed to vascular lineage and could differentiate into vascular ECs and VSMCs in vitro. The iVPCs demonstrated better in vitro angiogenic potential (tube network on 2-dimensional culture, tube formation in growth factor reduced Matrigel) than native ECs. The risk of teratoma formation in iVPCs is also reduced in comparison with fully reprogrammed induced pluripotent stem cells (iPSCs). When iVPCs were implanted into myocardium, they engrafted into blood vessels and increased coronary collateral flow (microspheres) and improved cardiac function (echocardiography) better than iPSCs, mesenchymal stem cells, native ECs, and sham treatments.']"
Is airway hyperresponsiveness negatively associated with obesity or overweight status in patients with asthma?,response,"Obesity is a risk factor for asthma in the general population, but obesity in asthmatic patients is negatively correlated with the intensity of AHR and is not related to asthma severity. Obesity is positively related with the prevalence of wheezing but negatively related to AHR in asthmatic patients.","['Obesity is a risk factor for asthma in the general population, but the effect of obesity on airway hyperresponsiveness (AFHR) or airway inflammation in asthma is not clear. This study evaluated the relationship between obesity and asthma, assessing aspects of symptoms, AHR, and severity. In total, 852 patients with asthma diagnosed by asthma specialists based on AHR as confirmed by a methacholine bronchial provocation test, were enrolled from the Cohort for Reality and Evolution of Adult Asthma in Korea (COREA) adult asthma cohort. The intensity of AHR was assessed by the concentration of methacholine needed to cause a 20% decrease in FEV(1) (PC(20)). Patients were classified into four categories based on body mass index (BMI): underweight (<18.5), normal weight (18.5-24.9), overweight (25.0-29.9), and obese (≥30). BMI was negatively correlated with FEV(1) (l), FVC (l), and FEV(1)/FVC (%) in lung function tests. The prevalence of wheezing increased with higher BMI after adjustment for age, sex, smoking, medication history, and PC(20) (p < 0.0001). logPC(20) was lower in the normal weight group compared with the overweight group (p = 0.003). The risk of moderate or severe AHR (PC(20) ≤ 4 mg/ml) decreased with increased BMI after adjustment for age, sex, smoking, and medication history (p = 0.035).']"
"Is morphometric evaluation of NB84 , synaptophysin and AgNOR useful for the histological diagnosis and prognosis in peripheral neuroblastic tumors ( pNTs )?",response,Determination of NB84 and synaptophysin are useful tools for the diagnosis of peripheral neuroblastic tumors The association of the evaluation of AgNOR expression by the tumor cells may provide an important contribution to the prognostic evaluation and management approach of the patients.,"['To study the importance of NB84, synaptophysin and AgNOR and explore the quantitative association of these factors with diagnosis and outcome as well as the association between NB84 and AgNOR and other tumor and stromal factors in twenty-eight peripheral neuroblastic tumors. We assessed AgNORs, NB84, synaptophysin and several other markers in tumor tissues from 28 patients with primary neuroblastic tumors. The treatment included: surgery for stage 1, chemotherapy and bone marrow transplantation for most of stages 3 and 4. Histochemistry, immunohistochemistry and morphometry were used to evaluate the amount of tumor staining for AgNOR, NB84 and synaptophysin; the outcome for our study was survival time until death due to recurrent neuroblastic tumors. Only stage (p<0.01), AgNOR (p<0.01), NB84 (p<0.01) and synaptophysin (p=0.01) reached statistical significance as prognostic indicators.']"
Are delirium and high fever associated with subacute motor deterioration in Parkinson disease : a nested case-control study?,response,"In patients with PD and systemic inflammation, delirium and high body temperature are strong risk factors for subsequent subacute motor deterioration and such deterioration can persist for over 6 months.","['In Parkinson disease (PD), systemic inflammation caused by respiratory infections such as pneumonia frequently occurs, often resulting in delirium in the advanced stages of this disease. Delirium can lead to cognitive and functional decline, institutionalization, and mortality, especially in the elderly. Inflammation causes rapid worsening of PD motor symptoms and signs, sometimes irreversibly in some, but not all, patients. To identify factors associated with subacute motor deterioration in PD patients with systemic inflammation. The association of clinical factors with subacute motor deterioration was analyzed by a case-control study. Subacute motor deterioration was defined as sustained worsening by one or more modified Hoehn and Yahr (H-Y) stages. Using multivariable logistic regression incorporating baseline characteristics (age, sex, PD duration, modified H-Y stage, dementia, and psychosis history) and statistically selected possible predictors (peak body temperature, duration of leukocytosis, and presence of delirium), the odds ratios for these factors were estimated as relative risks. Of 80 PD patients with systemic inflammation, 26 with associated subacute motor deterioration were designated as cases and the remainder as controls. In the 26 cases, 6 months after its onset the motor deterioration had persisted in 19 patients and resolved in four (three were lost for follow-up). Multivariable logistic regression analysis showed that delirium and body temperature are significantly associated with motor deterioration after systemic inflammation (P = 0.001 for delirium and P = 0.026 for body temperature), the adjusted odds ratios being 15.89 (95% confidence interval [CI]: 3.23-78.14) and 2.78 (95% CI: 1.13-6.83), respectively.']"
Is circulating soluble receptor for advanced glycation end products inversely correlated to oxidized low-density lipoproteins in asymptomatic subjects?,response,"An independent, significant and inverse correlation was shown to exist between circulating levels of sRAGE and oxLDL (MDA-LDL),  which suggests that part of the antiatherosclerotic effects of sRAGE may be related to oxLDL quenching.","['There is growing evidence that circulating soluble receptor for advanced glycation end products (sRAGE) exerts antiatherogenic effects as a decoy receptor that abolishes RAGE signalling. A previous study reported that oxidized low-density lipoprotein (oxLDL) can be one of  the RAGE ligands. The present cross-sectional study investigated the clinical association between sRAGE and oxLDL in humans. Serum levels of the conventional atherosclerotic risk factors, sRAGE and malondialdehyde-modified low-density lipoprotein (MDA-LDL) were analysed in asymptomatic  subjects; MDA-LDL was measured as a biomarker of oxLDL. Mean serum levels of sRAGE and MDA-LDL were 1101 ng/l and 57.6 IU/l, respectively, in 33 subjects of mean age 65 years. Simple linear regression analysis showed a significant inverse correlation between sRAGE and  MDA-LDL. Stepwise multiple linear regression analysis confirmed MDA-LDL to be independently, significantly and inversely correlated with sRAGE.']"
Is spatially distinct atrophy linked to β-amyloid and tau in preclinical Alzheimer disease?,response,Spatially distinct neurodegeneration is associated with Aβ and tau pathology in preclinical AD. Aβ deposition and AD signature cortical atrophy independently affect cognition in CN older individuals.,"['To determine whether an MRI-based Alzheimer disease (AD) signature biomarker can detect tau-related neurodegeneration in preclinical AD, and to assess whether AD signature cortical thinning is associated with cognitive changes in cognitively normal (CN) older individuals. In a large cohort of CN individuals (n = 188), we measured the hippocampal volume and cortical thickness within independently defined AD signature regions. We cross-sectionally assessed the associations between AD signature cortical thinning or hippocampal atrophy with CSF biomarkers of tau (increased tau) and β-amyloid (Aβ) (decreased Aβ42). We also examined the impact of AD signature cortical thinning or other biomarker changes (i.e., hippocampal atrophy, reduced CSF Aβ42, or increased CSF tau) on cognitive performance in CN individuals. Elevated CSF tau was associated with AD signature cortical thinning but not hippocampal atrophy. In contrast, decreased CSF Aβ42 was associated with hippocampal loss but not AD signature cortical thinning. In addition, AD signature cortical thinning was associated with lower visuospatial performance. Reduced CSF Aβ42 was related to poorer performance on episodic memory.']"
Does elevated Alkaline Phosphatase in Infants With Parenteral Nutrition-Associated Liver Disease reflect Bone Rather Than Liver Disease?,response,"While elevated ALP can reflect biliary stasis, the ALP elevation observed in infants with IF and PNALD is predominantly of bone rather than hepatic origin. An elevated unfractionated ALP in infants with PNALD should therefore raise suspicion of underlying bone disease, rather than being attributed to liver disease alone.","['Elevated serum alkaline phosphatase (ALP) in infants with intestinal failure (IF) can be due to parenteral nutrition-associated liver disease (PNALD) or metabolic bone disease (MBD). The purpose of the study was to determine the utility of serum ALP in the diagnostic criteria for PNALD by measuring tissue-specific levels in infants with IF and PNALD. A retrospective review of patient data for 15 infants diagnosed with PNALD between December 2012 and August 2013 was performed. PNALD was defined as the presence of 2 consecutive direct bilirubin (DB) levels >2 mg/dL. Fractionated serum alkaline phosphatase was measured in each patient, while the DB was >2 mg/dL. Parathyroid hormone (PTH), vitamin D3, calcium, and phosphate levels were recorded where available. In 15 infants with PNALD, elevation in total ALP was due to marked elevations in bone-specific ALP. The median liver-specific ALP remained within the normal range. PTH, vitamin D3, calcium, and phosphate levels were within normal limits.']"
Do exposure to lipopolysaccharide and/or unconjugated bilirubin impair the integrity and function of brain microvascular endothelial cells?,response,"LPS and/or UCB exert direct toxic effects on BMEC, with distinct temporal profiles and mechanisms of action. Therefore, the impairment of brain endothelial integrity upon exposure to these neurotoxins may favor their access to the brain, thus increasing the risk of injury and requiring adequate clinical management of sepsis and jaundice in the neonatal period.","['Sepsis and jaundice are common conditions in newborns that can lead to brain damage. Though lipopolysaccharide (LPS) is known to alter the integrity of the blood-brain barrier (BBB), little is known on the effects of unconjugated bilirubin (UCB) and even less on the joint effects of UCB and LPS on brain microvascular endothelial cells (BMEC). Monolayers of primary rat BMEC were treated with 1 µg/ml LPS and/or 50 µM UCB, in the presence of 100 µM human serum albumin, for 4 or 24 h. Co-cultures of BMEC with astroglial cells, a more complex BBB model, were used in selected experiments. LPS led to apoptosis and UCB induced both apoptotic and necrotic-like cell death. LPS and UCB led to inhibition of P-glycoprotein and activation of matrix metalloproteinases-2 and -9 in mono-cultures. Transmission electron microscopy evidenced apoptotic bodies, as well as damaged mitochondria and rough endoplasmic reticulum in BMEC by either insult. Shorter cell contacts and increased caveolae-like invaginations were noticeable in LPS-treated cells and loss of intercellular junctions was observed upon treatment with UCB. Both compounds triggered impairment of endothelial permeability and transendothelial electrical resistance both in mono- and co-cultures. The functional changes were confirmed by alterations in immunostaining for junctional proteins β-catenin, ZO-1 and claudin-5. Enlargement of intercellular spaces, and redistribution of junctional proteins were found in BMEC after exposure to LPS and UCB.']"
"Is except for alanine , muscle protein catabolism influenced by alterations in glucose metabolism during sepsis?",response,"The findings of this study demonstrate a universal acceleration in the metabolic rates of both intermediary glucose metabolism and protein/amino acid catabolism during sepsis. Except for alanine, however, there appears to be no coupling between these two physiologic responses to sepsis.","['To assess any relationship between hyperglycemia and muscle protein catabolism associated with critical illness. Cohort analytic study. Clinical research center and intensive care unit of a university hospital. Six healthy volunteers and five patients with severe sepsis. Study subjects were given infusions of 6,6,d2 glucose and 15N lysine for 6 hours. After infusion of the stable isotopes for 2 hours (basal period), dichloroacetate, which accelerates pyruvate oxidation, was given (dichloroacetate period). Leg blood flow was measured by indocyanine green dye dilution, and femoral artery and vein substrate concentrations were quantitated. The metabolic rates of glucose production, oxidation, and clearance; the whole-body protein breakdown rate; and the net efflux of amino acids from the leg were determined. In comparison with the healthy volunteers, septic patients had significant elevations in glucose production, oxidation, and clearance, accelerated protein catabolism, and greater net peripheral efflux of amino acids. Dichloroacetate significantly decreased glucose production and increased the percentage of glucose directed toward oxidation in both healthy volunteers and septic patients. However, this dichloroacetate-induced perturbation of glucose utilization had no significant effect on whole-body protein breakdown or the efflux of specific amino acids from the leg except for alanine, whose net efflux doubled (P < or = .05).']"
"The transitive fallacy for randomized trials: if A bests B and B bests C in separate trials, is A better than C?",response,"Even with large sample sizes, combining results from a previous randomized trial of B versus C with results from a new randomized trial of A versus B will not guarantee correct inference about A versus C. A three-arm trial of A, B, and C would protect against this problem and should be considered when the sequential trials are performed in the context of changing secular trends in important omitted variables such as therapy in cancer screening trials.","[""If intervention A bests B in one randomized trial, and B bests C in another randomized trial, can one conclude that A is better than C? The problem was motivated by the planning of a randomized trial, where A is spiral-CT screening, B is x-ray screening, and C is no screening. On its surface, this would appear to be a straightforward application of the transitive principle of logic. We extended the graphical approach for omitted binary variables that was originally developed to illustrate Simpson's paradox, applying it to hypothetical, but plausible scenarios involving lung cancer screening, treatment for gastric cancer, and antibiotic therapy for clinical pneumonia. Graphical illustrations of the three examples show different ways the transitive fallacy for randomized trials can arise due to changes in an unobserved or unadjusted binary variable. In the most dramatic scenario, B bests C in the first trial, A bests B in the second trial, but C bests A at the time of the second trial.""]"
Do evaluating the effectiveness of a university health sciences experience program for regional Year 10 students?,response,"The evaluation of the effectiveness of the program showed that it had achieved its objectives. It also provided the program organisers with insights regarding timing and activities, which will be useful in improving future programs targeting secondary students.","[""The main aim of this pilot program was to raise secondary students' awareness of university studies and careers in the health sciences through a three-day program. Further aims of the program were to increase the participants' knowledge of health issues through group activities, and provide an opportunity to interact with university staff and health professionals. The participants were surveyed at the conclusion of the program using an online questionnaire (30 items) consisting of both open and closed questions. The program and evaluation were carried out at a regional campus of a metropolitan-based university during the mid-year vacation. Fourteen Year 10 students (11 female, 3 male; 5 from government schools, 9 from a non-government school) from a regional city completed the evaluation. Satisfaction with the program, increased awareness of pathways into university, and changes in attitude about university as a career option. The evaluation revealed that the participants had had a pleasant learning experience, which had led them to feel positive about university studies in general and as an option for themselves. They made useful suggestions for improvements.""]"
Is fructose malabsorption uncommon among patients with irritable bowel syndrome in India : a case-control study?,response,"Though FM was not very common among Indian patients with IBS, it was higher among them than controls. Patients with FM more often had diarrhea-predominant IBS.","[""Fructose malabsorption (FM) is reported in 38 % to 75 % patients with irritable bowel syndrome (IBS). Most of these studies, however, had limitations due to use of variable dose of fructose, small sample size, and lack of control population. Moreover, there is no study on this issue from India. Hence, in this prospective study, we evaluated the frequency of FM on an adequately powered sample of patients with IBS and healthy controls (HC) from India. Ninety-seven patients with IBS (diagnosed using Rome III criteria) and 41 healthy controls were evaluated for FM by fructose hydrogen breath test (FHBT) using 25 g fructose. Persistent rise (at least two readings) in breath hydrogen 20 parts per million (PPM) above basal was considered diagnostic of FM. Patients and controls were comparable in age (37 years [21-66] vs. 33 years [15-56]; p\u2009=\u20090.1) and gender (76/97 [78.4 %] vs. 29/41 [70.7 %] male; p\u2009=\u20090.3). Of 70 patients reporting data on Bristol's stool forms, 10 (14 %), 43 (61 %), and 17 (25 %) had constipation, diarrhea predominant and unclassified IBS (Asian classification), respectively. Patients with IBS more often had FM than controls on FHBT (14/97 [14.4 %] vs. 1/41 [2.4 %]; p\u2009=\u20090.04). Patients with FM more often had diarrhea-predominant IBS than those without FM (10/11 [91 %] vs. 33/59 [56 %]; p\u2009=\u20090.02).""]"
Recent Australian suicide trends for males and females at the national level: has the rate of decline differed?,response,"Australian males, an 'at risk' demographic, appear to be experiencing benefits from the existence of current national suicide prevention strategies and related social changes. It is recommended that greater consideration be given to researching risk factors such as intimate partner violence, sexual abuse, and substance dependence, for Australian female suicide.","['In keeping with international public health policy development, suicide prevention in Australia has received increasing attention. The mid to late 1990s saw the introduction of a range of co-ordinated national prevention programmes. Since 1997, suicides have decreased, but the comparative rates of decline for males and females have not been well studied at the national level. Standardised suicide rates were calculated for males and females, using data from 1997 to 2005. Linear models (ordinary least squares) were used to calculate rates of decline, with trends compared for males and females. Male suicides appear to have fallen more rapidly than female suicides.']"
Is bioavailable IGF-I associated with fat-free mass gains after physical training in women?,response,"Circulating bioavailable IGF-I has a moderate association with physical activity-induced increases in FFM accretion in young, healthy women, and this association is greater than observed for total IGF-I.","['The contributions of systemic versus local insulin-like growth factor-I (IGF-I) action for mediating fat-free mass (FFM) accretion have yet to be fully clarified, but circulating IGF-I is the preferred measure in clinical practice, and its merits as a biomarker have been demonstrated for a number of physiological outcomes. To test the hypothesis that bioavailable IGF-I would have a stronger association with physical activity-induced FFM accretion than total IGF-I and would serve as a prognostic indicator of FFM accretion. Seventy-seven young healthy women (21 ± 5 yr, 62.7 ± 8.5 kg, 27.0% ± 6.0% body fat) participated in 8 wk of Army basic training involving intense physical activity. Total and bioavailable IGF-I; IGF binding proteins (IGFBP) 1, 2, 3, 4, 5, and 6; and body composition parameters were measured before and after the training. There were significant (P≤0.05) increases in FFM (6%) and decreases in fat mass (-13%). Total IGF-I and IGFBP-4 to -6 increased, whereas IGFBP-1 and IGFBP-2 decreased. Bioavailable IGF-I (24%) explained three times the amount of variance in relative FFM changes than did total IGF-I (8%). Receiver operator characteristic curve analysis revealed that women with lower baseline bioavailable IGF-I were twice as likely to experience FFM gains >7%. Women gaining >7% FFM had greater increases in total IGF-I, maintained bioavailable IGF-I concentrations and experienced greater decreases in IGFBP-2 and increases in IGFBP-6 than those women gaining <7% FFM.']"
Extraction site location and incisional hernias after laparoscopic colorectal surgery: should we be avoiding the midline?,response,"Although midline hernia rates were lower than traditionally reported with open surgery, midline extraction sites have a higher chance of IH than nonmidline sites.","['Laparoscopic colorectal procedures require specimen extraction. It is unclear whether extraction site affects the incidence of incisional hernia (IH). Patients undergoing laparoscopic colectomy over a 6-year period were identified. Outcomes were compared between patients to evaluate the incidence of hernia. Among 480 laparoscopic colorectal procedures, extraction sites were midline (n = 305), muscle splitting (n = 128), Pfannenstiel (n = 26), and ostomy (n = 21). Average follow-up was 3.5\xa0years. Age, gender, diagnosis, extraction incision length, and hospital stay were similar. The mean body mass index for all patients was 28 kg/m(2) and for those with IHs was 31 kg/m(2) (P = .008). The overall IH rate was 7%. Midline IHs accounted for 84% of all hernias, occurring in 8.9% of midline extractions (P<.05 vs nonmidline extractions). Hernia rates for muscle-splitting, Pfannenstiel, and ostomy site extractions were 2.3%, 3.8%, and 4.8%, respectively.']"
